# [1] z, [2] ICII
16.9782, 1.1046e-06
15.6326, 3.1859e-03
15.0326, 1.8982e-02
14.4744, 6.0935e-02
13.9537, 1.5384e-01
13.4670, 3.3021e-01
13.0109, 5.8446e-01
12.5827, 9.2752e-01
12.1799, 1.3548e+00
11.8003, 2.0250e+00
11.4420, 2.7480e+00
11.1032, 3.5097e+00
10.6282, 5.4604e+00
10.1891, 7.9933e+00
9.7819, 1.1144e+01
9.4033, 1.5171e+01
9.0505, 1.9988e+01
8.7207, 2.5650e+01
8.4119, 3.2165e+01
8.1222, 3.9673e+01
7.8497, 4.7333e+01
7.5931, 5.5046e+01
7.3509, 6.4286e+01
7.1220, 7.3790e+01
6.9053, 8.3642e+01
6.6998, 9.4483e+01
6.5048, 1.0635e+02
6.3194, 1.1817e+02
6.0579, 1.3795e+02
5.8144, 1.5707e+02
5.5872, 1.7974e+02
5.3746, 2.0213e+02
5.1753, 2.2859e+02
4.9881, 2.5442e+02
4.8119, 2.8259e+02
4.6458, 3.1310e+02
4.4889, 3.4767e+02
4.3405, 3.8165e+02
4.1999, 4.1731e+02
4.0665, 4.6594e+02
3.9399, 5.0515e+02
3.8193, 5.6078e+02
3.7046, 6.1947e+02
3.5951, 6.8469e+02
3.4906, 7.6432e+02
3.3908, 8.2738e+02
3.2953, 9.1385e+02
3.2039, 1.0093e+03
3.1163, 1.1003e+03
3.0323, 1.2020e+03
2.9516, 1.3073e+03
2.8741, 1.4290e+03
2.7996, 1.5490e+03
2.7279, 1.6853e+03
2.6588, 1.8184e+03
2.5923, 1.9447e+03
2.5281, 2.0867e+03
2.4662, 2.2448e+03
2.4065, 2.3980e+03
2.3487, 2.5461e+03
2.2929, 2.6618e+03
2.2389, 2.8182e+03
2.1866, 2.9747e+03
2.1360, 3.1315e+03
2.0870, 3.2414e+03
2.0395, 3.3844e+03
1.9935, 3.5031e+03
1.9488, 3.6496e+03
1.9054, 3.7751e+03
1.8633, 3.8926e+03
1.8224, 3.9828e+03
1.7826, 4.0765e+03
1.7440, 4.1736e+03
1.7064, 4.2716e+03
1.6698, 4.3573e+03
1.6342, 4.3704e+03
1.5995, 4.4521e+03
1.5658, 4.5569e+03
1.5329, 4.5760e+03
1.5008, 4.6176e+03
1.4695, 4.6772e+03
1.4390, 4.6650e+03
1.4093, 4.7120e+03
1.3803, 4.7230e+03
1.3519, 4.7284e+03
1.3242, 4.7707e+03
1.2972, 4.7432e+03
1.2708, 4.7642e+03
1.2450, 4.7590e+03
1.2198, 4.7396e+03
1.1951, 4.7551e+03
1.1710, 4.6893e+03
1.1474, 4.6833e+03
1.1243, 4.6472e+03
1.1017, 4.6458e+03
1.0796, 4.6317e+03
1.0579, 4.5809e+03
1.0367, 4.5308e+03
1.0159, 4.4698e+03
0.9955, 4.4523e+03
0.9756, 4.4098e+03
0.9560, 4.3704e+03
0.9368, 4.3322e+03
0.9180, 4.2786e+03
0.8996, 4.2309e+03
0.8815, 4.1722e+03
0.8637, 4.1295e+03
0.8463, 4.0765e+03
0.8292, 4.0417e+03
0.8124, 3.9883e+03
0.7959, 3.9384e+03
0.7798, 3.8981e+03
0.7639, 3.8306e+03
0.7483, 3.7893e+03
0.7329, 3.7398e+03
0.7179, 3.6963e+03
0.7030, 3.6488e+03
0.6885, 3.5897e+03
0.6742, 3.5488e+03
0.6601, 3.5072e+03
0.6463, 3.4771e+03
0.6327, 3.4271e+03
0.6193, 3.3736e+03
0.6061, 3.3302e+03
0.5932, 3.2745e+03
0.5804, 3.2446e+03
0.5679, 3.1857e+03
0.5555, 3.1594e+03
0.5434, 3.1068e+03
0.5314, 3.0716e+03
0.5196, 3.0386e+03
0.5080, 2.9967e+03
0.4966, 2.9638e+03
0.4853, 2.9194e+03
0.4743, 2.8889e+03
0.4633, 2.8382e+03
0.4472, 2.7952e+03
0.4315, 2.7448e+03
0.4161, 2.6993e+03
0.4011, 2.6450e+03
0.3863, 2.5937e+03
0.3719, 2.5556e+03
0.3577, 2.5089e+03
0.3439, 2.4579e+03
0.3303, 2.4182e+03
0.3170, 2.3796e+03
0.3039, 2.3252e+03
0.2912, 2.2929e+03
0.2786, 2.2479e+03
0.2663, 2.2105e+03
0.2543, 2.1776e+03
0.2424, 2.1385e+03
0.2308, 2.1008e+03
0.2194, 2.0676e+03
0.2082, 2.0365e+03
0.1972, 1.9971e+03
0.1865, 1.9658e+03
0.1759, 1.9424e+03
0.1655, 1.9020e+03
0.1552, 1.8783e+03
0.1452, 1.8472e+03
0.1353, 1.8135e+03
0.1256, 1.7942e+03
0.1161, 1.7629e+03
0.1067, 1.7417e+03
0.0975, 1.7222e+03
0.0884, 1.6980e+03
0.0795, 1.6654e+03
0.0707, 1.6439e+03
0.0621, 1.6268e+03
0.0536, 1.6002e+03
0.0452, 1.5696e+03
0.0370, 1.5516e+03
0.0289, 1.5274e+03
0.0209, 1.5098e+03
0.0130, 1.4856e+03
0.0053, 1.4750e+03
-0.0023, 1.4372e+03
